DW_TEMPO;invoice_date;_year;_month;_quarter
f74e4c34b631912ecebd3c69c2d562da26cd2f1a6768843f3b9028dbd685cf5c;2018-08-20;2018;8;3
ca1a2643da4dbdf23d5dce41dc5ba13930b47906521617e299b27838667a886a;2017-09-10;2017;9;3
f285f5231f5e09310f37d65cee797b7066ff23076dfc29e89d8a93d569da43d6;2017-11-11;2017;11;4
4edfb0f9d7ea8871505cc4604420cd62240d3f8761c4690095bacf2d371840d3;2017-02-02;2017;2;1
d62f23f55de06b426aa61cc1fbc8b35bce8a55ad7251a6bd782e2083eeecf20a;2017-12-28;2017;12;4
5a0511594b54cdd9affd2463194af83205c9aee838b4481094c721c866d111e6;2018-10-16;2018;10;4
333a8238ef21c24d19c96d1bd58430aae449f3763c5a199d49eb36019fb7f33c;2017-09-09;2017;9;3
04350ba74d1adcb54dac9f416f6c7643aa7fb94684b8b0e2d21a2c33a66ba0b4;2017-08-04;2017;8;3
a67fceae7d92a34c49bc4566229ed076654a8bd21a320d2b845839e49c69ef93;2017-11-01;2017;11;4
37b8090fc26663a664b02a85c980563d7126799332f1f9f958dfdfb177c67f77;2018-08-13;2018;8;3
3bf191d897a6a3801791fba1fe4c370187b2f2cf35870cf8427ba8513a28f0a4;2019-01-08;2019;1;1
d40d39fcb066713290affe892776d3772485719f1095a5ba07fb30c7a92a2a46;2018-04-10;2018;4;2
a97dc5e28bfd5fe9cc8d414ed122ef092fa5734a1adf22dff9a16f4bc6825550;2018-02-27;2018;2;1
06810de39ab965ace34a4b3e778e4fd24a4d4cb8d491328950b2aeef427c00d3;2018-11-10;2018;11;4
a8b34e25156c7593bdf3db03b1680cda64595a30ac06d57d829d5152d26df935;2019-01-27;2019;1;1
dd862542c2334b00dbe6fbef5f9d50fa3b66ed95ce831741853c3091434dd6cc;2017-08-16;2017;8;3
c4f939757221acd581bafb32c908847b2d2a78dd69a271228c144936c09295f2;2017-09-01;2017;9;3
a8dad9cbac8ccd17d9616728cdd85b9cba8b47a30b34fb4698be2a536abd87d3;2017-06-01;2017;6;2
7d0ab6568db0a8fc27b5043f0672cebec11a8f3286acb69df9e4afdc1fda44f3;2018-05-16;2018;5;2
f50130d62f7776f5202d01aa028a366af78db589d7f1bb3bfeb3b0ba312ebd1e;2019-03-20;2019;3;1
b789ae4c41a147e7f202e8495c01ba2ad3ac1a922c5c7e08392a1ba13f591abe;2017-10-06;2017;10;4
6f7ce2ba9b44d6c118e2d77c07c1c9a17ac738fa8bb4d9fdf9445a5e98db9d8c;2019-03-04;2019;3;1
eeb6e22f37b402f2ef509f50b00296bb4d57ccd7b2ebb085aa5ca48c89359470;2018-06-11;2018;6;2
401155f34ee5555f0b659ad4170f54a7876f55d15a4cad5315e7c01f5774c7f6;2019-02-10;2019;2;1
cab66b9012d4829a6f27387b24bd8841a98210f7cc49ecdca370ca8c31ceff3d;2017-06-10;2017;6;2
57eeb1e37eb31d9265e13b5cc288214d4a03ebe96ce2f0a06ffe3e2490a0ea65;2019-02-18;2019;2;1
01007b4ef962420d2828b9eee644eb4a96bc00ed6610fd67a9c248f7c0ea7598;2018-08-04;2018;8;3
9ae89dc3746a7eb244a64279fcc7e26e0324bb235cadf0917bf9dd98e8b57e3d;2018-10-17;2018;10;4
b4d8fa9a9f6a271dbb7b70ea16d8592fb1a89c63a56987350cb179ca12f398a3;2017-07-20;2017;7;3
c939c05cf7a1e625f247149d716a5502cfd34c9a8525d3a527681641e012c4b8;2017-07-29;2017;7;3
6b7e268f7829f4840968d18c7b9e904196a0135a4a252f288012f04d05b74165;2017-12-15;2017;12;4
c5781df53be015998b935e782df66b8946426f55e0485b6c09291a0be95c8c56;2018-07-14;2018;7;3
45c7e0db1e8d505551efe88abdac30154adc6950477a81aa51156d544d4416b0;2019-01-09;2019;1;1
a951a4b5e8972f30cf040336abfe7d26d0f6c1be21a94cb95ddb7ec6df56a629;2018-10-15;2018;10;4
a557a7e1f3716059d44211813cb434d0f7b774b331014618ea488d899378714d;2017-03-05;2017;3;1
82cfae0b24aa90f76a1e37aaed43be2bd7f15cef1d7662080216e71a73097ec3;2019-01-17;2019;1;1
15e9adc24ac0fc6ef1e6e3cb6c1daba6fcbd93cc95eaf404b06c5528e8740a6e;2017-02-10;2017;2;1
c2b58f90f31ed7ed5ff1aea6c9c00170be255fa9bc3c6ed67396ab0ad9af362a;2017-08-26;2017;8;3
b9268f80649c23f649c1f1bcab0d0c2cf208325464fb310d214bba68b8a56d56;2017-08-24;2017;8;3
